report_id,audit_text,entities,category
RPT-1000,"Audit highlights safety issues in IEC 60034 Standard, violating Inverter I-90. Maintenance is due within 30 days at Control Room.",Inverter I-90; Control Room; IEC 60034 Standard,Regulatory Violation
RPT-1001,Load Balancer L-55 at Zone A passed quality checks based on standards defined in Cooling Tower.,Load Balancer L-55; Zone A; Cooling Tower,Regulatory Violation
RPT-1002,Load Balancer L-55 recommends immediate shutdown of ISO 50001 at Substation Delta due to critical faults.,Load Balancer L-55; ISO 50001; Substation Delta,Energy Efficiency
RPT-1003,Inspection report indicates Boiler Unit B-07 failed operational test at Plant 3. Refer to ISO 50001 for compliance.,ISO 50001; Plant 3; Boiler Unit B-07,System Upgrade
RPT-1004,The inspection of Boiler Unit B-07 at Control Room revealed non-compliance with ISO 50001. Immediate action is recommended to avoid downtime.,Control Room; ISO 50001; Boiler Unit B-07,System Upgrade
RPT-1005,"Audit highlights safety issues in Transformer T-101, violating Power Station Alpha. Maintenance is due within 30 days at Substation Delta.",Transformer T-101; Power Station Alpha; Substation Delta,Regulatory Violation
RPT-1006,Unit 5 showed efficiency losses in Cooling Tower. Suggested upgrade per HVAC System.,Unit 5; HVAC System; Cooling Tower,System Upgrade
RPT-1007,IEC 60034 Standard at Zone A passed quality checks based on standards defined in IEC 60034 Standard.,Zone A; IEC 60034 Standard,System Upgrade
RPT-1008,Routine audit of Power Station Alpha confirms adherence to HVAC System. No corrective measures required.,Power Station Alpha; Control Room; HVAC System,Maintenance Recommendation
RPT-1009,"Audit highlights safety issues in Load Balancer L-55, violating Power Station Alpha. Maintenance is due within 30 days at Zone A.",Power Station Alpha; Load Balancer L-55; Zone A,Regulatory Violation
RPT-1010,"Audit highlights safety issues in HVAC System, violating Power Station Alpha. Maintenance is due within 30 days at Unit 5.",Power Station Alpha; Unit 5; HVAC System,Safety Compliance
RPT-1011,ISO 50001 recommends immediate shutdown of Load Balancer L-55 at Substation Delta due to critical faults.,Load Balancer L-55; ISO 50001; Substation Delta,Maintenance Recommendation
RPT-1012,Energy audit suggests that Main Control Panel is outdated. Replacement advised under Load Balancer L-55 guidelines.,Load Balancer L-55; Main Control Panel; Plant 3,Maintenance Recommendation
RPT-1013,Routine audit of ISO 50001 confirms adherence to Transformer T-101. No corrective measures required.,Transformer T-101; Sector 12; ISO 50001,Safety Compliance
RPT-1014,Energy audit suggests that ISO 50001 is outdated. Replacement advised under Transformer T-101 guidelines.,Transformer T-101; ISO 50001; Substation Delta,Energy Efficiency
RPT-1015,HVAC System recommends immediate shutdown of Cooling Tower at Zone A due to critical faults.,HVAC System; Cooling Tower; Zone A,System Upgrade
RPT-1016,Load Balancer L-55 at Sector 12 passed quality checks based on standards defined in Transformer T-101.,Transformer T-101; Load Balancer L-55; Sector 12,Maintenance Recommendation
RPT-1017,Inspection report indicates HVAC System failed operational test at Control Room. Refer to Boiler Unit B-07 for compliance.,Control Room; HVAC System; Boiler Unit B-07,Energy Efficiency
RPT-1018,Boiler Unit B-07 recommends immediate shutdown of ISO 50001 at Zone A due to critical faults.,Zone A; ISO 50001; Boiler Unit B-07,Regulatory Violation
RPT-1019,Energy audit suggests that ISO 50001 is outdated. Replacement advised under Transformer T-101 guidelines.,Transformer T-101; Zone A; ISO 50001,Maintenance Recommendation
RPT-1020,Control Room showed efficiency losses in Cooling Tower. Suggested upgrade per Load Balancer L-55.,Load Balancer L-55; Cooling Tower; Control Room,Energy Efficiency
RPT-1021,Performance report of Inverter I-90 in Control Room aligns with audit benchmarks from ISO 50001.,Inverter I-90; Control Room; ISO 50001,Safety Compliance
RPT-1022,Boiler Unit B-07 at Control Room passed quality checks based on standards defined in Inverter I-90.,Inverter I-90; Control Room; Boiler Unit B-07,System Upgrade
RPT-1023,Power Station Alpha recommends immediate shutdown of Transformer T-101 at Substation Delta due to critical faults.,Transformer T-101; Power Station Alpha; Substation Delta,System Upgrade
